address	rarity	salt	nonce		
0x00000000000016aAfcFDE0a083630268a30Fcc8B	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a11a3de3daf92b4402d4839b23	20		
0x0000000000001716F9aA11eD7DB35bAA49572C40	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a15c4fcea793285a025e917883	5		
0x0000000000001A0AC5403A2a3cFa84775A2EE747	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a16e1530515b198701b6f94cb1	12		
0x0000000000001Aa09D7AF4f8a9a88338B314adB8	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1a608bc15a6c81e02e0ca7c2c	6		
0x0000000000001aa2Cb50f907032FFff98A674D8C	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1cea74207df07e10319973e47	18		
0x0000000000001Ab7fFe789237c76dc00D3DD4e57	314649014	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1c8461cdf60b8f001ba0800fb	12		
0x0000000000001B1A7fe31692d107cAA42fb06862	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1ca0683ce612aa20186ad6c09	0		
0x0000000000001b5Afad0aD1316D055256110C9Bc	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a176b85e72bc614003c2529397	30		
0x0000000000001b7e92162DAC82e8a236D28FE845	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a137e7a25f16682a02d732667a	10		
0x0000000000001C44C3984d47a29E6969919f0d78	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1a62eea372cb3fd0381f0113e	4		
0x0000000000001C730eee885a1ee8E45C51fdB1DF	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1f83bb6d7df496b03c5ac5db1	18		
0x0000000000001CFd8e080DbA5aa48ad60839EDE3	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a19073c55ad4cdb700e99bb80f	20		
0x0000000000001D733Eb94B282728C05181507Eea	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a118073a9684929901da371fcd	12		
0x0000000000001d9c38CA405A2e04420865A08A33	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1c18310bb94818d02a41a8f96	1		
0x0000000000001E485621966b6464c7b321108a98	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1d9444efaaa2838031e982361	11		
0x0000000000002038055dB8f2B2Fd356598935C51	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1230404d17c30be0129de179d	21		
0x000000000000205A24d8B4A0Efc1B9A41709ebC9	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1e8291a424a2bc602adf75f91	26		
0x0000000000002064459c558c691c1655A5b3EE95	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a19b28c6a7033e7e00beb85f48	1		
0x00000000000020c6e5FB192bD19873e6E5dB4F2e	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a18c205f4c7acbfa00a3f25ea6	24		
0x00000000000020dF461b87AE6C7a45214444DE11	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a1b63f2ea377a91202eb42761a	31		
0x00000000000021898aB2f597D1e3b9Eb75C637A1	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a12a38bf4b8921f50007e5f410	1		
0x00000000000021b06b7c9ff0344e668BDc7a96bc	16777216	0x82bf455e9ebd6a541ef10b683de1edcaf05ce7a15b4901d063d28501b246d335	26		
